date,close
2013-01-08,1
2013-03-07,1
2013-03-14,1
2013-03-25,1
2013-03-28,1
2013-04-07,2
2013-04-10,6
2013-04-11,17
2013-04-12,10
2013-04-18,2
2013-04-24,1
2013-04-26,1
2013-04-29,1
2013-05-02,1
2013-05-04,1
2013-05-07,3
2013-05-22,1
2013-05-27,1
2013-06-02,1
2013-06-06,1
2013-06-11,1
2013-06-13,1
2013-06-18,2
2013-06-19,1
2013-06-22,1
2013-06-26,1
2013-06-27,1
2013-07-02,2
2013-07-04,2
2013-07-05,1
2013-07-06,1
2013-07-08,8
2013-07-09,1
2013-07-11,1
2013-07-17,1
2013-07-18,1
2013-07-19,1
2013-07-23,1
2013-07-26,1
2013-07-28,1
2013-07-29,1
2013-07-30,1
2013-07-31,1
2013-08-04,1
2013-08-05,1
2013-08-12,1
2013-08-14,2
2013-08-16,1
2013-08-19,1
2013-08-20,1
2013-08-23,1
2013-08-25,1
2013-08-30,1
2013-08-31,1
2013-09-02,1
2013-09-05,1
2013-09-06,3
2013-09-08,1
2013-09-11,1
2013-09-13,1
2013-09-15,1
2013-09-20,1
2013-09-22,2
2013-09-23,5
2013-09-24,1
2013-09-25,2
2013-09-26,2
2013-09-29,2
2013-09-30,1
2013-10-01,1
2013-10-02,2
2013-10-03,1
2013-10-04,1
2013-10-06,2
2013-10-09,1
2013-10-10,3
2013-10-11,2
2013-10-12,1
2013-10-13,1
2013-10-15,1
2013-10-17,1
2013-10-18,1
2013-10-19,1
2013-10-20,2
2013-10-21,1
2013-10-22,4
2013-10-23,1
2013-10-24,2
2013-10-25,2
2013-10-27,2
2013-10-28,1
2013-10-30,2
2013-11-01,2
2013-11-02,1
2013-11-03,4
2013-11-04,2
2013-11-05,2
2013-11-06,2
2013-11-07,1
2013-11-08,1
2013-11-10,2
2013-11-12,1
2013-11-14,1
2013-11-16,2
2013-11-17,1
2013-11-18,1
2013-11-19,6
2013-11-20,2
2013-11-21,2
2013-11-23,1
2013-11-24,3
2013-11-25,1
2013-11-26,6
2013-11-28,1
2013-12-01,2
2013-12-02,3
2013-12-03,3
2013-12-04,3
2013-12-05,1
2013-12-06,3
2013-12-07,2
2013-12-08,3
2013-12-09,2
2013-12-10,5
2013-12-11,3
2013-12-12,2
2013-12-13,3
2013-12-14,3
2013-12-15,3
2013-12-16,2
2013-12-17,1
2013-12-18,3
2013-12-19,2
2013-12-20,3
2013-12-21,1
2013-12-22,2
2013-12-23,1
2013-12-29,1
2013-12-31,7
2014-01-01,1
2014-01-02,3
2014-01-03,4
2014-01-04,6
2014-01-05,9
2014-01-06,5
2014-01-07,4
2014-01-08,7
2014-01-09,5
2014-01-10,4
2014-01-11,3
2014-01-12,10
2014-01-13,3
2014-01-14,5
2014-01-15,5
2014-01-17,2
2014-01-18,2
2014-01-19,2
2014-01-20,8
2014-01-21,6
2014-01-22,1
2014-01-23,4
2014-01-24,4
2014-01-25,3
2014-01-26,6
2014-01-27,12
2014-01-28,5
2014-01-29,3
2014-01-30,9
2014-01-31,5
2014-02-01,10
2014-02-02,4
2014-02-03,7
2014-02-04,9
2014-02-05,6
2014-02-06,4
2014-02-07,9
2014-02-08,6
2014-02-09,9
2014-02-10,7
2014-02-11,9
2014-02-12,11
